distance,total_force
1700.49,-6.95218
1704.99,-6.92691
1709.48,-6.90167
1713.96,-6.87648
1718.42,-6.85132
1722.88,-6.82621
1727.32,-6.80115
1731.75,-6.77614
1736.17,-6.75118
1740.58,-6.72628
1744.98,-6.70144
1749.36,-6.67666
1753.74,-6.65195
1758.1,-6.6273
1762.45,-6.60272
1766.79,-6.57822
1771.12,-6.55378
1775.43,-6.52942
1779.74,-6.50514
1784.03,-6.48093
1788.31,-6.4568
1792.58,-6.43276
1796.83,-6.4088
1801.08,-6.38492
1805.31,-6.36113
1809.53,-6.33743
1813.74,-6.31381
1817.94,-6.29029
1822.13,-6.26685
1826.3,-6.24351
1830.46,-6.22026
1834.61,-6.1971
1838.75,-6.17404
1842.87,-6.15107
1846.99,-6.1282
1851.09,-6.10542
1855.17,-6.08274
1859.25,-6.06016
1863.32,-6.03768
1867.37,-6.0153
1871.41,-5.99301
1875.44,-5.97083
1879.45,-5.94875
1883.45,-5.92676
1887.45,-5.90488
1891.42,-5.8831
1895.39,-5.86142
1899.34,-5.83984
1903.29,-5.81837
1907.22,-5.79699
1911.13,-5.77572
1915.04,-5.75455
1918.93,-5.73349
1922.81,-5.71252
1926.68,-5.69166
1930.53,-5.6709
1934.38,-5.65025
1938.21,-5.62969
1942.03,-5.60924
1945.83,-5.58889
1949.62,-5.56864
1953.41,-5.5485
1957.17,-5.52846
1960.93,-5.50852
1964.67,-5.48868
1968.41,-5.46894
1972.12,-5.4493
1975.83,-5.42977
1979.52,-5.41033
1983.21,-5.391
1986.88,-5.37177
1990.53,-5.35263
1994.18,-5.3336
1997.81,-5.31467
2001.43,-5.29583
2005.03,-5.2771
2008.63,-5.25846
2012.21,-5.23992
2015.78,-5.22148
2019.34,-5.20314
2022.88,-5.18489
2026.42,-5.16674
2029.93,-5.14869
2033.44,-5.13073
2036.94,-5.11287
2040.42,-5.09511
2043.89,-5.07744
2047.35,-5.05986
2050.79,-5.04238
2054.23,-5.02499
2057.65,-5.0077
2061.05,-4.9905
2064.45,-4.97339
2067.83,-4.95637
2071.2,-4.93945
2074.56,-4.92261
2077.91,-4.90587
2081.24,-4.88922
2084.56,-4.87265
2087.87,-4.85618
2091.17,-4.83979
2094.45,-4.8235
2097.72,-4.80729
2100.98,-4.79117
2104.23,-4.77513
2107.46,-4.75919
2110.68,-4.74333
2113.89,-4.72755
2117.09,-4.71186
2120.28,-4.69626
2123.45,-4.68074
2126.61,-4.6653
2129.76,-4.64994
2132.89,-4.63467
2136.02,-4.61949
2139.13,-4.60438
2142.22,-4.58936
2145.31,-4.57441
2148.38,-4.55955
2151.45,-4.54477
