distance,acceleration_a,acceleration_b,tick_index,velocity_x,velocity_y,velocity_z
1756.91,0.0317811,0.000317811,6726,-3.96306,0,6.96117
1756.12,0.0318096,0.000318096,6727,-3.93696,0,6.97936
1755.34,0.031838,0.00031838,6728,-3.91076,0,6.99745
1754.57,0.0318662,0.000318662,6729,-3.88445,0,7.01543
1753.79,0.0318942,0.000318942,6730,-3.85804,0,7.0333
1753.03,0.0319221,0.000319221,6731,-3.83152,0,7.05107
1752.27,0.0319498,0.000319498,6732,-3.80489,0,7.06873
1751.51,0.0319774,0.000319774,6733,-3.77816,0,7.08628
1750.76,0.0320048,0.000320048,6734,-3.75132,0,7.10372
1750.02,0.0320321,0.000320321,6735,-3.72439,0,7.12105
1749.28,0.0320591,0.000320591,6736,-3.69734,0,7.13827
1748.54,0.0320861,0.000320861,6737,-3.6702,0,7.15538
1747.81,0.0321128,0.000321128,6738,-3.64295,0,7.17238
1747.09,0.0321394,0.000321394,6739,-3.61561,0,7.18926
1746.37,0.0321658,0.000321658,6740,-3.58816,0,7.20603
1745.66,0.032192,0.00032192,6741,-3.56061,0,7.22268
1744.96,0.0322181,0.000322181,6742,-3.53296,0,7.23922
1744.26,0.032244,0.00032244,6743,-3.50521,0,7.25565
1743.56,0.0322697,0.000322697,6744,-3.47736,0,7.27195
1742.87,0.0322952,0.000322952,6745,-3.44942,0,7.28814
1742.19,0.0323206,0.000323206,6746,-3.42138,0,7.30421
1741.51,0.0323458,0.000323458,6747,-3.39324,0,7.32016
1740.84,0.0323708,0.000323708,6748,-3.365,0,7.33599
1740.17,0.0323956,0.000323956,6749,-3.33667,0,7.3517
1739.51,0.0324202,0.000324202,6750,-3.30824,0,7.36729
1738.85,0.0324447,0.000324447,6751,-3.27972,0,7.38275
1738.2,0.0324689,0.000324689,6752,-3.25111,0,7.3981
1737.56,0.032493,0.00032493,6753,-3.2224,0,7.41331
1736.92,0.0325169,0.000325169,6754,-3.1936,0,7.42841
1736.29,0.0325406,0.000325406,6755,-3.1647,0,7.44338
1735.66,0.0325641,0.000325641,6756,-3.13572,0,7.45822
1735.04,0.0325874,0.000325874,6757,-3.10664,0,7.47294
1734.43,0.0326105,0.000326105,6758,-3.07748,0,7.48753
1733.82,0.0326334,0.000326334,6759,-3.04822,0,7.50199
1733.21,0.0326561,0.000326561,6760,-3.01888,0,7.51632
1732.62,0.0326786,0.000326786,6761,-2.98945,0,7.53053
1732.03,0.032701,0.00032701,6762,-2.95993,0,7.5446
1731.44,0.0327231,0.000327231,6763,-2.93033,0,7.55854
1730.86,0.032745,0.00032745,6764,-2.90064,0,7.57235
1730.29,0.0327667,0.000327667,6765,-2.87086,0,7.58603
1729.72,0.0327882,0.000327882,6766,-2.84101,0,7.59958
1729.16,0.0328095,0.000328095,6767,-2.81106,0,7.61299
1728.6,0.0328306,0.000328306,6768,-2.78104,0,7.62627
1728.05,0.0328515,0.000328515,6769,-2.75093,0,7.63941
1727.51,0.0328721,0.000328722,6770,-2.72074,0,7.65242
1726.97,0.0328926,0.000328926,6771,-2.69047,0,7.66529
1726.44,0.0329129,0.000329129,6772,-2.66012,0,7.67803
1725.92,0.0329329,0.000329329,6773,-2.62969,0,7.69063
1725.4,0.0329527,0.000329527,6774,-2.59919,0,7.70309
1724.88,0.0329723,0.000329723,6775,-2.5686,0,7.71541
1724.38,0.0329917,0.000329917,6776,-2.53794,0,7.72759
1723.88,0.0330108,0.000330108,6777,-2.50721,0,7.73963
1723.38,0.0330298,0.000330298,6778,-2.4764,0,7.75153
1722.89,0.0330485,0.000330485,6779,-2.44551,0,7.76329
1722.41,0.033067,0.00033067,6780,-2.41455,0,7.77491
1721.94,0.0330853,0.000330853,6781,-2.38352,0,7.78639
1721.47,0.0331033,0.000331033,6782,-2.35242,0,7.79772
1721,0.0331211,0.000331211,6783,-2.32125,0,7.80891
1720.55,0.0331387,0.000331387,6784,-2.29,0,7.81996
1720.1,0.0331561,0.000331561,6785,-2.25869,0,7.83086
1719.65,0.0331732,0.000331732,6786,-2.22731,0,7.84161
1719.21,0.0331901,0.000331901,6787,-2.19586,0,7.85222
1718.78,0.0332068,0.000332068,6788,-2.16434,0,7.86269
1718.36,0.0332233,0.000332233,6789,-2.13276,0,7.873
1717.94,0.0332395,0.000332395,6790,-2.10112,0,7.88317
1717.52,0.0332555,0.000332555,6791,-2.06941,0,7.8932
1717.12,0.0332712,0.000332712,6792,-2.03764,0,7.90307
1716.72,0.0332867,0.000332867,6793,-2.0058,0,7.91279
1716.33,0.033302,0.00033302,6794,-1.97391,0,7.92237
1715.94,0.033317,0.00033317,6795,-1.94195,0,7.93179
1715.56,0.0333318,0.000333318,6796,-1.90993,0,7.94107
1715.18,0.0333463,0.000333463,6797,-1.87786,0,7.95019
1714.81,0.0333607,0.000333607,6798,-1.84573,0,7.95916
1714.45,0.0333747,0.000333747,6799,-1.81354,0,7.96798
1714.1,0.0333885,0.000333885,6800,-1.7813,0,7.97665
1713.75,0.0334021,0.000334021,6801,-1.749,0,7.98517
1713.41,0.0334155,0.000334155,6802,-1.71665,0,7.99353
1713.07,0.0334285,0.000334285,6803,-1.68424,0,8.00174
1712.74,0.0334414,0.000334414,6804,-1.65178,0,8.00979
1712.42,0.033454,0.00033454,6805,-1.61928,0,8.01769
1712.11,0.0334663,0.000334663,6806,-1.58672,0,8.02543
1711.8,0.0334784,0.000334784,6807,-1.55411,0,8.03302
1711.49,0.0334903,0.000334903,6808,-1.52146,0,8.04046
1711.2,0.0335019,0.000335019,6809,-1.48875,0,8.04773
1710.91,0.0335132,0.000335132,6810,-1.45601,0,8.05485
1710.62,0.0335243,0.000335243,6811,-1.42321,0,8.06182
1710.35,0.0335351,0.000335351,6812,-1.39038,0,8.06862
1710.08,0.0335457,0.000335457,6813,-1.3575,0,8.07527
1709.81,0.0335561,0.000335561,6814,-1.32457,0,8.08176
1709.56,0.0335661,0.000335661,6815,-1.29161,0,8.08809
1709.31,0.033576,0.00033576,6816,-1.25861,0,8.09426
1709.06,0.0335855,0.000335855,6817,-1.22556,0,8.10028
1708.83,0.0335948,0.000335948,6818,-1.19248,0,8.10613
1708.6,0.0336039,0.000336039,6819,-1.15936,0,8.11183
1708.37,0.0336127,0.000336127,6820,-1.12621,0,8.11736
1708.16,0.0336212,0.000336212,6821,-1.09302,0,8.12274
1707.95,0.0336295,0.000336295,6822,-1.0598,0,8.12795
