distance,total_force
1845.37,3.97559
1844.21,3.98429
1843.05,3.99294
1841.9,4.00152
1840.74,4.01004
1839.59,4.0185
1838.45,4.0269
1837.3,4.03523
1836.16,4.0435
1835.03,4.0517
1833.89,4.05983
1832.76,4.0679
1831.64,4.07591
1830.51,4.08384
1829.39,4.0917
1828.28,4.0995
1827.17,4.10722
1826.06,4.11487
1824.95,4.12245
1823.85,4.12996
1822.75,4.13739
1821.66,4.14475
1820.56,4.15203
1819.48,4.15924
1818.39,4.16637
1817.31,4.17342
1816.24,4.1804
1815.16,4.18729
1814.09,4.19411
1813.03,4.20084
1811.97,4.20749
1810.91,4.21406
1809.86,4.22055
1808.81,4.22695
1807.76,4.23327
1806.72,4.2395
1805.68,4.24565
1804.65,4.25171
1803.62,4.25768
1802.59,4.26356
1801.57,4.26936
1800.55,4.27506
1799.54,4.28067
1798.53,4.28619
1797.52,4.29162
1796.52,4.29696
1795.53,4.3022
1794.53,4.30734
1793.55,4.31239
1792.56,4.31735
1791.58,4.32221
1790.61,4.32697
1789.64,4.33163
1788.67,4.33619
1787.71,4.34065
1786.75,4.34501
1785.8,4.34927
1784.85,4.35342
1783.9,4.35748
1782.96,4.36143
1782.03,4.36527
1781.1,4.36901
1780.17,4.37264
1779.25,4.37617
1778.33,4.37959
1777.42,4.3829
1776.51,4.3861
1775.61,4.38919
1774.71,4.39218
1773.82,4.39505
1772.93,4.39781
1772.05,4.40045
1771.17,4.40299
1770.3,4.40541
1769.43,4.40771
1768.56,4.4099
1767.7,4.41198
1766.85,4.41393
1766,4.41577
1765.16,4.4175
1764.32,4.4191
1763.48,4.42058
1762.65,4.42195
1761.83,4.42319
1761.01,4.42432
1760.2,4.42532
1759.39,4.4262
1758.58,4.42696
1757.79,4.42759
1756.99,4.4281
1756.21,4.42848
1755.42,4.42874
1754.65,4.42888
1753.87,4.42889
1753.11,4.42877
1752.35,4.42852
1751.59,4.42814
1750.84,4.42764
1750.09,4.42701
1749.35,4.42625
1748.62,4.42536
1747.89,4.42433
1747.17,4.42318
1746.45,4.4219
1745.74,4.42048
1745.03,4.41893
1744.33,4.41725
1743.63,4.41543
1742.94,4.41348
1742.26,4.4114
1741.58,4.40918
1740.91,4.40683
1740.24,4.40434
1739.58,4.40171
1738.92,4.39895
1738.27,4.39606
1737.62,4.39302
1736.99,4.38985
1736.35,4.38654
1735.73,4.3831
1735.1,4.37951
1734.49,4.37579
1733.88,4.37193
1733.28,4.36793
1732.68,4.36378
1732.09,4.3595
1731.5,4.35508
1730.92,4.35052
1730.35,4.34582
1729.78,4.34098
1729.21,4.336
1728.66,4.33088
1728.11,4.32561
1727.56,4.32021
1727.03,4.31466
1726.49,4.30898
1725.97,4.30315
1725.45,4.29717
1724.94,4.29106
1724.43,4.28481
1723.93,4.27841
1723.43,4.27187
1722.94,4.26519
1722.46,4.25837
1721.98,4.2514
1721.51,4.24429
1721.05,4.23704
1720.59,4.22965
1720.14,4.22211
1719.7,4.21444
1719.26,4.20662
1718.83,4.19866
1718.4,4.19056
1717.98,4.18231
1717.57,4.17392
1717.16,4.1654
1716.76,4.15673
1716.36,4.14792
1715.98,4.13896
1715.6,4.12987
1715.22,4.12064
1714.85,4.11126
1714.49,4.10175
1714.13,4.09209
1713.78,4.0823
1713.44,4.07236
1713.11,4.06229
1712.78,4.05208
1712.45,4.04173
1712.14,4.03124
1711.83,4.02061
1711.52,4.00984
1711.23,3.99894
1710.94,3.9879
1710.65,3.97672
1710.37,3.9654
1710.1,3.95395
1709.84,3.94237
1709.58,3.93065
1709.33,3.91879
1709.09,3.9068
1708.85,3.89468
1708.62,3.88242
1708.39,3.87003
1708.18,3.85751
1707.97,3.84486
1707.76,3.83208
1707.56,3.81916
1707.37,3.80612
1707.19,3.79294
1707.01,3.77964
1706.84,3.76621
