distance,acceleration_a,acceleration_b,tick_index
2541.49,0.0151877,0.000151877,7757
2541.72,0.015185,0.00015185,7758
2541.94,0.0151824,0.000151824,7759
2542.16,0.0151797,0.000151797,7760
2542.37,0.0151772,0.000151772,7761
2542.59,0.0151746,0.000151746,7762
2542.8,0.0151721,0.000151721,7763
2543,0.0151696,0.000151696,7764
2543.21,0.0151672,0.000151672,7765
2543.41,0.0151648,0.000151648,7766
2543.61,0.0151624,0.000151624,7767
2543.8,0.0151601,0.000151601,7768
2543.99,0.0151578,0.000151578,7769
2544.18,0.0151556,0.000151556,7770
2544.37,0.0151534,0.000151534,7771
2544.55,0.0151512,0.000151512,7772
2544.73,0.0151491,0.000151491,7773
2544.91,0.0151469,0.000151469,7774
2545.08,0.0151449,0.000151449,7775
2545.25,0.0151428,0.000151428,7776
2545.42,0.0151408,0.000151408,7777
2545.58,0.0151389,0.000151389,7778
2545.75,0.015137,0.00015137,7779
2545.91,0.0151351,0.000151351,7780
2546.06,0.0151332,0.000151332,7781
2546.21,0.0151314,0.000151314,7782
2546.36,0.0151296,0.000151296,7783
2546.51,0.0151279,0.000151279,7784
2546.65,0.0151262,0.000151262,7785
2546.79,0.0151245,0.000151245,7786
2546.93,0.0151229,0.000151229,7787
2547.07,0.0151213,0.000151213,7788
2547.2,0.0151197,0.000151197,7789
2547.33,0.0151182,0.000151182,7790
2547.45,0.0151167,0.000151167,7791
2547.58,0.0151152,0.000151152,7792
2547.69,0.0151138,0.000151138,7793
2547.81,0.0151124,0.000151124,7794
2547.92,0.0151111,0.000151111,7795
2548.03,0.0151098,0.000151098,7796
2548.14,0.0151085,0.000151085,7797
2548.25,0.0151073,0.000151073,7798
