distance,acceleration_a,acceleration_b
1578.34,0.336331,0.000393792
1584.69,0.333641,0.000390643
1590.79,0.331087,0.000387652
1596.65,0.328663,0.000384814
1602.26,0.326365,0.000382123
1607.63,0.324189,0.000379576
1612.75,0.322131,0.000377166
1617.64,0.320187,0.000374891
1622.29,0.318356,0.000372746
1626.7,0.316632,0.000370728
1630.87,0.315014,0.000368833
1634.81,0.313498,0.000367059
1638.51,0.312084,0.000365402
1641.98,0.310767,0.00036386
1645.21,0.309546,0.000362431
1648.21,0.308419,0.000361112
1650.98,0.307385,0.000359901
1653.52,0.306442,0.000358797
1655.83,0.305588,0.000357797
1657.91,0.304822,0.0003569
1659.76,0.304143,0.000356105
1661.38,0.30355,0.000355411
1662.77,0.303043,0.000354817
1663.93,0.302619,0.000354321
1664.87,0.302279,0.000353923
1665.58,0.302023,0.000353623
1666.06,0.301849,0.000353419
1666.31,0.301758,0.000353313
1666.33,0.301749,0.000353302
1666.13,0.301823,0.000353389
1665.7,0.301979,0.000353572
1665.04,0.302219,0.000353852
1664.15,0.302541,0.000354229
1663.03,0.302947,0.000354704
1661.69,0.303436,0.000355278
1660.12,0.304011,0.000355951
1658.32,0.304672,0.000356724
1656.29,0.305419,0.0003576
1654.03,0.306255,0.000358578
1651.54,0.307179,0.00035966
1648.82,0.308194,0.000360848
1645.86,0.309301,0.000362144
1642.68,0.310502,0.00036355
1639.26,0.311798,0.000365068
1635.61,0.313193,0.000366701
1631.72,0.314687,0.00036845
1627.6,0.316283,0.000370319
1623.24,0.317984,0.000372311
1618.64,0.319793,0.000374429
1613.8,0.321713,0.000376676
1608.73,0.323746,0.000379057
1603.41,0.325897,0.000381576
1597.85,0.328169,0.000384236
1592.04,0.330566,0.000387043
1585.99,0.333093,0.000390001
1579.7,0.335754,0.000393116
1573.15,0.338553,0.000396394
1566.36,0.341498,0.000399841
1559.31,0.344592,0.000403464
1552.01,0.347842,0.00040727
1544.45,0.351255,0.000411266
1536.63,0.354837,0.00041546
1528.56,0.358597,0.000419862
1520.22,0.362541,0.000424481
1511.61,0.36668,0.000429326
1502.74,0.371022,0.00043441
1493.6,0.375577,0.000439744
1484.19,0.380356,0.000445339
1474.5,0.385371,0.000451211
1464.53,0.390634,0.000457373
1454.28,0.396159,0.000463842
1443.75,0.401961,0.000470635
1432.93,0.408054,0.000477769
1421.82,0.414457,0.000485266
1410.41,0.421188,0.000493147
1398.71,0.428268,0.000501436
1386.7,0.435717,0.000510158
1374.38,0.44356,0.000519342
1361.76,0.451824,0.000529017
1348.81,0.460537,0.000539218
1335.55,0.469729,0.000549981
1321.96,0.479435,0.000561345
1308.04,0.489693,0.000573355
1293.79,0.500543,0.000586059
1279.19,0.512032,0.000599511
1264.25,0.524209,0.000613769
1248.95,0.53713,0.000628898
1233.29,0.550857,0.00064497
1217.26,0.565459,0.000662066
1200.86,0.581011,0.000680276
1184.07,0.5976,0.000699699
1166.9,0.615322,0.000720448
1149.32,0.634283,0.000742649
1131.34,0.654607,0.000766444
1112.94,0.676429,0.000791996
1094.12,0.699908,0.000819486
1074.85,0.72522,0.000849122
1055.14,0.75257,0.000881145
1034.97,0.782191,0.000915826
1014.33,0.814353,0.000953483
993.199,0.849369,0.000994481
971.573,0.887602,0.00103925
949.434,0.929478,0.00108828
926.768,0.975498,0.00114216
903.559,1.02626,0.00120159
879.791,1.08246,0.00126739
855.445,1.14494,0.00134056
830.505,1.21474,0.00142228
804.952,1.29309,0.00151401
778.766,1.38151,0.00161754
751.928,1.48189,0.00173507
724.419,1.59657,0.00186934
696.221,1.72852,0.00202383
667.317,1.8815,0.00220295
637.692,2.06038,0.00241239
607.339,2.27147,0.00265954
576.256,2.52312,0.00295418
544.458,2.82645,0.00330934
511.976,3.19646,0.00374256
478.88,3.65356,0.00427776
445.287,4.22561,0.00494754
411.401,4.95037,0.00579613
377.56,5.87754,0.0068817
344.316,7.06732,0.00827476
312.554,8.57665,0.0100419
283.661,10.4128,0.0121918
259.661,12.4267,0.0145497
243.136,14.1733,0.0165948
236.572,14.9708,0.0175285
241.167,14.4057,0.0168669
256.069,12.7778,0.0149609
278.928,10.7692,0.0126091
307.113,8.88329,0.010401
338.479,7.31318,0.00856261
371.535,6.06973,0.00710673
405.317,5.1001,0.00597144
439.224,4.34306,0.00508506
472.888,3.74673,0.00438685
506.084,3.27132,0.00383022
538.682,2.88738,0.00338068
570.607,2.57333,0.00301297
601.819,2.31333,0.00270855
632.303,2.09565,0.00245368
662.058,1.91151,0.00223809
691.091,1.75428,0.00205399
719.414,1.61887,0.00189544
747.045,1.50133,0.00175782
774.002,1.39857,0.00163751
800.303,1.30816,0.00153165
825.969,1.22812,0.00143794
851.018,1.15689,0.00135454
875.468,1.09317,0.00127994
899.339,1.03591,0.00121289
922.647,0.984231,0.00115238
945.41,0.937408,0.00109756
967.642,0.894828,0.00104771
989.359,0.855975,0.00100222
1010.58,0.820411,0.000960576
1031.3,0.787761,0.000922348
1051.56,0.757706,0.000887158
1071.35,0.729967,0.00085468
1090.7,0.704305,0.000824633
1109.6,0.680511,0.000796775
1128.08,0.658404,0.00077089
1146.13,0.637822,0.000746792
1163.78,0.618626,0.000724316
1181.03,0.60069,0.000703316
1197.88,0.583906,0.000683664
1214.35,0.568174,0.000665245
1230.44,0.553408,0.000647956
1246.17,0.539529,0.000631706
1261.53,0.526468,0.000616414
1276.54,0.514162,0.000602005
1291.2,0.502553,0.000588413
1305.52,0.491592,0.000575579
1319.49,0.481231,0.000563448
1333.14,0.471429,0.000551971
1346.46,0.462147,0.000541104
1359.46,0.453351,0.000530805
1372.14,0.445009,0.000521038
1384.52,0.437092,0.000511768
1396.58,0.429574,0.000502966
1408.34,0.42243,0.000494601
1419.8,0.415638,0.000486649
1430.96,0.409178,0.000479085
1441.84,0.40303,0.000471887
1452.42,0.397178,0.000465034
1462.72,0.391604,0.000458509
1472.74,0.386295,0.000452293
1482.47,0.381237,0.00044637
1491.94,0.376416,0.000440726
1501.13,0.371821,0.000435346
1510.05,0.367442,0.000430219
1518.7,0.363268,0.000425331
1527.08,0.359289,0.000420672
1535.21,0.355496,0.000416232
1543.07,0.351883,0.000412001
1550.67,0.34844,0.00040797
1558.02,0.345161,0.000404131
1565.11,0.34204,0.000400476
1571.96,0.339069,0.000396998
1578.55,0.336244,0.00039369
1584.89,0.333558,0.000390546
1590.98,0.331008,0.00038756
1596.83,0.328588,0.000384726
1602.43,0.326294,0.00038204
1607.79,0.324121,0.000379497
1612.91,0.322067,0.000377091
1617.79,0.320127,0.00037482
1622.43,0.318299,0.000372679
1626.84,0.316578,0.000370665
1631,0.314963,0.000368774
1634.93,0.313451,0.000367003
1638.63,0.312039,0.00036535
1642.09,0.310725,0.000363812
1645.31,0.309508,0.000362386
1648.31,0.308384,0.00036107
1651.07,0.307352,0.000359863
1653.6,0.306412,0.000358762
1655.91,0.305561,0.000357765
1657.98,0.304798,0.000356872
1659.82,0.304121,0.00035608
1661.43,0.303531,0.000355389
1662.82,0.303026,0.000354797
1663.97,0.302605,0.000354304
1664.9,0.302268,0.00035391
1665.6,0.302014,0.000353612
1666.07,0.301843,0.000353412
1666.32,0.301754,0.000353308
1666.33,0.301748,0.000353301
1666.12,0.301824,0.00035339
1665.69,0.301983,0.000353576
1665.02,0.302225,0.000353859
1664.13,0.302549,0.000354239
1663,0.302958,0.000354717
1661.65,0.30345,0.000355294
1660.07,0.304028,0.00035597
1658.27,0.304691,0.000356747
1656.23,0.305441,0.000357625
1653.96,0.306279,0.000358606
1651.46,0.307206,0.000359692
1648.74,0.308224,0.000360883
1645.78,0.309334,0.000362183
1642.58,0.310538,0.000363592
1639.16,0.311837,0.000365113
1635.5,0.313234,0.000366749
1631.6,0.314731,0.000368502
1627.47,0.316331,0.000370375
1623.11,0.318035,0.00037237
1618.5,0.319847,0.000374492
1613.66,0.32177,0.000376744
1608.57,0.323807,0.000379129
1603.25,0.325962,0.000381651
1597.68,0.328237,0.000384316
1591.87,0.330639,0.000387127
1585.81,0.333169,0.00039009
1579.51,0.335834,0.00039321
1572.96,0.338638,0.000396494
1566.15,0.341587,0.000399946
1559.1,0.344685,0.000403574
1551.79,0.34794,0.000407385
1544.22,0.351358,0.000411387
1536.4,0.354946,0.000415587
1528.31,0.358711,0.000419996
1519.97,0.362661,0.000424621
1511.35,0.366806,0.000429474
1502.48,0.371154,0.000434565
1493.33,0.375716,0.000439906
1483.9,0.380502,0.00044551
1474.21,0.385524,0.00045139
1464.23,0.390795,0.000457561
1453.98,0.396328,0.000464039
1443.43,0.402138,0.000470842
1432.6,0.40824,0.000477987
1421.48,0.414653,0.000485495
1410.07,0.421394,0.000493388
1398.35,0.428484,0.000501689
1386.34,0.435945,0.000510425
1374.01,0.443801,0.000519623
1361.38,0.452077,0.000529313
1348.42,0.460804,0.000539531
1335.15,0.470011,0.000550311
1321.55,0.479733,0.000561694
1307.62,0.490008,0.000573724
1293.36,0.500876,0.00058645
1278.75,0.512385,0.000599925
1263.8,0.524584,0.000614208
1248.49,0.537528,0.000629363
1232.82,0.55128,0.000645465
1216.78,0.565909,0.000662594
1200.36,0.581492,0.000680838
1183.57,0.598113,0.000700299
1166.38,0.61587,0.00072109
1148.79,0.63487,0.000743336
1130.8,0.655237,0.000767182
1112.39,0.677107,0.000792789
1093.55,0.700638,0.00082034
1074.27,0.726008,0.000850045
1054.54,0.753422,0.000882143
1034.36,0.783115,0.000916909
1013.7,0.815358,0.00095466
992.559,0.850465,0.000995764
970.917,0.888801,0.00104065
948.763,0.930793,0.00108982
926.081,0.976947,0.00114386
902.855,1.02786,0.00120346
879.07,1.08423,0.00126947
854.707,1.14692,0.00134287
829.748,1.21696,0.00142487
804.176,1.29559,0.00151693
777.971,1.38434,0.00162085
751.113,1.48511,0.00173883
723.584,1.60026,0.00187366
695.365,1.73278,0.00202882
666.439,1.88646,0.00220876
636.793,2.0662,0.0024192
606.418,2.27837,0.00266763
575.314,2.53139,0.00296387
543.494,2.83648,0.00332109
510.993,3.20878,0.00375699
477.879,3.66887,0.00429569
444.274,4.2449,0.00497013
410.384,4.97494,0.00582489
376.552,5.90907,0.00691862
343.337,7.10769,0.00832202
311.638,8.62716,0.0101011
282.859,10.472,0.0122611
259.044,12.486,0.0146192
242.784,14.2144,0.0166429
236.546,14.974,0.0175322
241.473,14.3692,0.0168241
256.652,12.7198,0.0148929
279.708,10.7092,0.0125389
308.016,8.83126,0.0103401
339.451,7.27133,0.00851362
372.541,6.037,0.0070684
406.334,5.0746,0.00594158
440.239,4.32307,0.00506166
473.891,3.73089,0.0043683
507.071,3.2586,0.00381533
539.649,2.87704,0.00336857
571.553,2.56482,0.00300301
602.743,2.30624,0.00270025
633.206,2.08968,0.00244669
662.939,1.90643,0.00223214
691.95,1.74992,0.00204889
720.253,1.6151,0.00189103
747.863,1.49804,0.00175398
774.8,1.39569,0.00163414
801.082,1.30561,0.00152867
826.729,1.22586,0.0014353
851.759,1.15487,0.00135218
876.192,1.09136,0.00127782
900.046,1.03428,0.00121099
923.337,0.982761,0.00115066
946.084,0.936073,0.001096
968.3,0.893612,0.00104628
990.002,0.854863,0.00100091
1011.2,0.819392,0.000959382
1031.92,0.786824,0.000921251
1052.16,0.756842,0.000886146
1071.94,0.729169,0.000853745
1091.27,0.703566,0.000823768
1110.16,0.679825,0.000795972
1128.62,0.657765,0.000770143
1146.67,0.637227,0.000746096
1164.3,0.61807,0.000723666
1181.54,0.600171,0.000702709
1198.38,0.583419,0.000683095
1214.84,0.567718,0.000664711
1230.92,0.552979,0.000647454
1246.63,0.539126,0.000631234
1261.99,0.526089,0.000615969
1276.98,0.513804,0.000601586
1291.63,0.502216,0.000588018
1305.94,0.491273,0.000575206
1319.91,0.480929,0.000563095
1333.55,0.471143,0.000551637
1346.86,0.461877,0.000540787
1359.85,0.453095,0.000530505
1372.52,0.444766,0.000520753
1384.88,0.436861,0.000511498
1396.94,0.429355,0.000502709
1408.69,0.422222,0.000494357
1420.14,0.41544,0.000486417
1431.29,0.408989,0.000478864
1442.16,0.40285,0.000471676
1452.73,0.397007,0.000464834
1463.02,0.391441,0.000458318
1473.03,0.38614,0.000452111
1482.76,0.381089,0.000446197
